Date, Open, High, Low, Close
04/09/15, 17897.70, 17984.22, 17823.10, 17958.73
04/08/15, 17877.62, 17976.20, 17822.23, 17902.51
04/07/15, 17884.32, 17983.12, 17871.21, 17875.42
04/06/15, 17755.50, 17941.79, 17646.80, 17880.85
04/02/15, 17699.52, 17815.03, 17673.49, 17763.24
04/01/15, 17778.52, 17778.52, 17585.01, 17698.18
03/31/15, 17965.37, 17965.37, 17773.02, 17776.12
03/30/15, 17727.48, 18008.64, 17727.48, 17976.31
03/27/15, 17673.63, 17729.14, 17630.49, 17712.66
03/26/15, 17716.27, 17759.51, 17579.27, 17678.23
03/25/15, 18012.61, 18041.97, 17718.54, 17718.54
03/24/15, 18110.87, 18149.24, 18010.44, 18011.14
03/23/15, 18136.73, 18205.93, 18116.04, 18116.04
03/20/15, 17961.13, 18197.29, 17961.13, 18127.65
03/19/15, 18072.58, 18072.99, 17934.24, 17959.03
03/18/15, 17846.80, 18097.12, 17697.52, 18076.19
03/17/15, 17972.22, 17972.22, 17785.79, 17849.08
03/16/15, 17751.24, 17988.50, 17751.24, 17977.42
03/13/15, 17889.05, 17889.05, 17629.89, 17749.31
03/12/15, 17626.84, 17900.10, 17620.49, 17895.22
03/11/15, 17662.94, 17731.78, 17627.00, 17635.39
03/10/15, 17989.56, 17989.56, 17662.94, 17662.94
03/09/15, 17856.56, 18031.04, 17856.56, 17995.72
03/06/15, 18135.72, 18135.72, 17825.15, 17856.78
03/05/15, 18096.90, 18160.35, 18087.65, 18135.72
03/04/15, 18203.37, 18203.37, 18029.50, 18096.90
03/03/15, 18281.95, 18281.95, 18136.88, 18203.37
03/02/15, 18134.05, 18288.63, 18122.59, 18288.63
02/27/15, 18213.26, 18213.26, 18132.38, 18132.70
02/26/15, 18224.41, 18239.43, 18157.07, 18214.42
02/25/15, 18208.67, 18244.38, 18182.76, 18224.57
02/24/15, 18112.57, 18231.09, 18098.73, 18209.19
02/23/15, 18140.76, 18141.21, 18054.84, 18116.84
02/20/15, 17985.77, 18144.29, 17878.37, 18140.44
02/19/15, 18028.67, 18028.67, 17924.60, 17985.77
02/18/15, 18045.72, 18048.70, 17982.20, 18029.85
